kota,konsumsi_ton
Surabaya,314241
Gresik,141465
Sidoarjo,241408
Mojokerto,255452
Jombang,137061
Bojonegoro,135792
Lamongan ,129472
Tuban,127223
Madiun ,167646
Ngawi,90401
Magetan,68489
Ponorogo,94817
Pacitan,60375
Kediri,372641
Nganjuk,114551
Tulungagung,112742
Blitar,267458
Trenggalek ,75674
Malang,658817
Pasuruan ,373768
Probolinggo,278714
Lumajang,113233
Bondowoso,84105
Situbondo,74048
Jember,265792
Banyuwangi,175295
Bangkalan,106604
Sampang,105473
Pamekasan,94907
Sumenep,118181
